UserID,SignupDate,Age,Gender,City,State,Country,Language,SignupDay,SignupTime,DeviceModel,OSDetails,ISP,CurrentWalletBalance,IsFreeConsultationTaken,HasInitiatedConsultation,HasTakenChat,HasTakenCall,HasTakenOther,HasRated,HasReviewed,HadPositiveInteraction,HadNegativeInteraction,HasUsedGift,AppLaunches_0_30,AppLaunches_30_60,AppLaunches_60_90,AppLaunches_90Plus,IsActiveClevertap_0_30,IsActiveClevertap_30_60,IsActiveClevertap_60_90,NoOfNotificationsClicked,NoOfNotificationsViewed,HasUninstalled,HasPushUnregistered,AcquisitionSource,FirstEventName,Campaign,Adgroup,DaysSinceLastConsultation,DaysSinceLastRecharge,EngagementTrend_30_vs_60,NotificationCTR,ConsultationCount,LowWalletFlag,DecliningEngagementFlag,LowNotificationCTRFlag,Churn_30D,Churn_60D,Churn_90D
100000,2025-11-15,34,Male,Pune,Telangana,India,Hindi,Fri,Afternoon,Samsung A14,iOS 17,BSNL,123.18,0,1,0,1,0,0,1,0,0,0,8,14,13,38,1,1,1,4,14,0,0,google,signup,remarketing,B,8,28,0.6,0.2857142857142857,1,0,1,0,1,1,1
100001,2025-10-25,35,Male,Pune,Maharashtra,India,Hindi,Wed,Morning,OnePlus Nord,Android 13,Other,159.44,1,0,0,1,1,0,0,0,1,0,13,13,10,36,0,1,1,6,25,0,0,referral,view_home,brand,D,83,90,1.0,0.24,2,0,0,0,1,0,0
100002,2024-11-18,25,Male,Pune,Maharashtra,USA,Tamil,Thu,Night,Samsung A14,Android 14,Other,222.57,0,0,1,1,0,0,0,0,0,0,4,11,14,33,0,0,0,1,23,0,0,organic,view_home,install,B,173,110,0.4166666666666667,0.043478260869565216,2,0,1,1,1,1,1
100003,2024-12-23,25,Male,Hyderabad,Karnataka,India,Tamil,Mon,Night,iPhone 13,Android 13,Airtel,416.68,0,1,1,0,0,1,1,0,0,1,8,15,11,31,1,1,1,5,22,0,0,referral,app_launch,organic,D,37,52,0.5625,0.22727272727272727,1,0,1,0,1,1,1
100004,2024-10-07,53,Male,Hyderabad,Delhi,India,Tamil,Wed,Evening,iPhone 13,Android 12,Vi,203.24,0,1,1,1,0,0,0,0,0,0,15,9,18,37,1,1,1,3,21,0,0,meta,signup,remarketing,C,86,97,1.6,0.14285714285714285,2,0,0,0,0,1,0
100005,2025-10-10,18,Female,Chennai,Telangana,India,Tamil,Sat,Evening,Vivo V27,Android 12,BSNL,216.66,0,1,0,1,0,0,0,1,0,0,9,16,28,24,1,1,1,3,25,0,1,google,notification_open,brand,C,164,145,0.5882352941176471,0.12,1,0,1,0,1,1,1
100006,2024-09-01,39,Male,Hyderabad,Karnataka,India,Telugu,Wed,Afternoon,iPhone 13,Android 14,Airtel,410.01,1,1,0,1,0,0,0,0,0,0,7,12,15,30,1,1,1,6,16,0,0,google,view_home,brand,B,36,38,0.6153846153846154,0.375,1,0,1,0,1,0,1
100007,2025-05-26,47,Male,Hyderabad,West Bengal,USA,Tamil,Tue,Morning,Vivo V27,Android 14,Vi,154.98,1,0,0,1,0,1,0,0,0,0,4,19,15,32,1,1,1,3,16,0,0,organic,promo_click,brand,B,52,33,0.25,0.1875,1,0,1,0,0,1,0
100008,2025-11-05,48,Male,Chennai,Maharashtra,USA,Telugu,Tue,Morning,Samsung A14,Android 12,Jio,361.36,1,0,0,0,0,1,0,0,0,1,12,10,12,51,1,1,1,2,20,0,0,crm,promo_click,organic,B,97,23,1.1818181818181819,0.1,0,0,0,0,1,0,0
100009,2025-04-06,27,Female,Bengaluru,Maharashtra,India,Tamil,Tue,Evening,iPhone 13,iOS 16,Other,279.07,0,1,0,0,0,0,1,0,0,0,12,14,23,29,1,1,1,5,23,0,0,organic,app_launch,remarketing,C,37,110,0.8666666666666667,0.21739130434782608,0,0,0,0,0,1,1
