UserID,SignupDate,Churn_Score,Score_Bucket,Churn_Segment,Recommended_Action
200008,2024-08-15,0.99,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200184,2024-10-02,0.99,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200153,2024-09-10,0.99,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200039,2026-02-28,0.9893,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200145,2025-11-22,0.9866,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200054,2024-09-04,0.9817,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200193,2025-02-07,0.9813,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200081,2026-04-17,0.9706,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200185,2025-02-28,0.9599,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200169,2024-09-10,0.9532,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200009,2025-02-21,0.953,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200132,2026-04-15,0.9527,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200034,2025-09-02,0.9526,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200071,2025-12-31,0.9451,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200197,2025-06-12,0.9282,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200174,2025-01-04,0.9237,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200079,2025-02-11,0.9205,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200059,2025-11-13,0.9202,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200029,2025-08-29,0.9192,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200004,2025-08-23,0.9091,0.80 - 1.00,Price Sensitive,Send discount or promotional wallet offer
200124,2025-03-20,0.9061,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200166,2026-05-07,0.8981,0.80 - 1.00,Price Sensitive,Send discount or promotional wallet offer
200176,2026-05-03,0.8963,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200078,2025-03-31,0.8956,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200005,2024-12-18,0.8858,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200168,2024-11-16,0.88,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200191,2025-05-15,0.8766,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200159,2024-08-08,0.8659,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200040,2026-01-02,0.8631,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200141,2024-11-30,0.859,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200077,2025-05-14,0.8547,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200151,2025-06-01,0.8544,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200190,2024-07-13,0.8472,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200018,2024-12-05,0.8413,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200002,2026-01-22,0.8404,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200189,2025-09-11,0.8404,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200178,2026-02-28,0.8377,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200001,2025-01-15,0.8342,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200154,2024-08-22,0.834,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200015,2026-03-08,0.8278,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200172,2026-03-27,0.8278,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200152,2026-02-10,0.8271,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200181,2024-12-17,0.818,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200108,2024-07-27,0.8155,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200087,2026-05-04,0.8146,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200133,2026-02-11,0.8112,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200024,2024-06-22,0.8087,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200109,2024-10-31,0.8071,0.80 - 1.00,Feature/Tech Frustrated,Send support or bug-fix communication
200014,2026-01-06,0.8064,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200150,2024-08-22,0.8053,0.80 - 1.00,Drifting,Send content-based re-engagement campaign
200139,2024-07-28,0.7923,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200025,2026-04-17,0.7923,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200036,2026-04-19,0.7904,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200162,2025-06-10,0.7885,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200142,2025-07-21,0.782,0.60 - 0.80,General Risk,Send generic retention reminder
200130,2024-10-20,0.7785,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200140,2026-04-02,0.7776,0.60 - 0.80,Feature/Tech Frustrated,Send support or bug-fix communication
200111,2026-02-22,0.7766,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200026,2025-07-02,0.776,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200084,2026-01-17,0.7753,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200075,2025-04-30,0.7747,0.60 - 0.80,Drifting,Send content-based re-engagement campaign
200117,2025-04-05,0.7715,0.60 - 0.80,Feature/Tech Frustrated,Send support or bug-fix communication
200086,2025-04-20,0.7665,0.60 - 0.80,General Risk,Send generic retention reminder
